city,district,neighborhood,room,living_room,area,age,floor,price
izmir,kemalpasa,sekiz_eylul,3,1,160,10,2,25000
izmir,karsiyaka,aksoy,3,1,110,36,4,23500
izmir,konak,piri_reis,3,1,125,38,3,25000
izmir,menemen,ulus,3,1,138,2,4,23000
izmir,konak,akin_simav,3,1,130,35,5,35000
izmir,bornova,ergene,1,1,55,2,2,17500
izmir,balcova,egitim,3,1,130,29,4,20000
izmir,karsiyaka,bahcelievler,3,1,120,30,1,18000
izmir,karsiyaka,bostanli,1,1,50,2,4,20000
izmir,bornova,ergene,3,1,120,36,3,20000
izmir,buca,buca_koop,3,1,120,25,5,17000
izmir,karsiyaka,alaybey,2,1,80,5,0,18000
izmir,balcova,onur,3,1,130,16,0,30000
izmir,karsiyaka,bostanli,2,1,90,0,5,35000
izmir,cigli,balatcik,2,1,92,25,1,13500
izmir,menderes,kemalpasa,3,1,140,12,1,25000
izmir,buca,ataturk,1,1,55,5,3,18000
izmir,bornova,kazimdirik,1,1,60,0,3,25000
izmir,buca,kurucesme,1,1,55,4,1,13000
izmir,bornova,erzene,3,1,140,19,2,22000
izmir,foca,mustafa_kemal_ataturk,2,1,85,0,2,25000
izmir,dikili,ismetpasa,2,1,85,9,2,20000
izmir,bayrakli,bayrakli,2,1,95,20,2,20000
izmir,seferihisar,colak_ibrahim_bey,3,1,160,1,2,40000
izmir,karsiyaka,mavisehir,1,1,70,29,3,24000
izmir,karabaglar,bahcelievler,3,1,125,30,5,17500
izmir,bornova,inonu,3,1,125,20,3,21000
izmir,bergama,fatih,3,1,160,16,5,15000
izmir,bornova,kazimdirik,1,1,55,12,3,17500
izmir,karsiyaka,bostanli,2,1,85,35,4,25000
izmir,buca,kozagac,1,1,55,4,3,15500
izmir,selcuk,zafer,2,1,90,0,5,15000
izmir,karabaglar,calikusu,2,1,90,21,2,12500
izmir,bayrakli,osmangazi,3,1,140,15,3,23000
izmir,bayrakli,postacilar,3,1,120,8,3,20000
izmir,bornova,kizilay,2,1,90,20,3,10000
izmir,bornova,mevlana,1,1,65,5,1,15000
izmir,buca,ataturk,1,1,55,4,2,12000
izmir,karsiyaka,alaybey,1,1,80,1,1,18000
izmir,buca,yaylacik,2,1,75,0,3,22000
izmir,bornova,inonu,3,1,120,20,2,21000
izmir,karsiyaka,yali,3,1,130,28,2,26000
izmir,dikili,candarli,1,1,65,0,3,15500
izmir,karsiyaka,ornekkoy,1,1,50,10,3,16000
izmir,urla,zeytinalani,2,1,140,31,0,25000
izmir,karsiyaka,atakent,3,1,130,30,2,27500
izmir,gaziemir,atifbey,3,1,125,14,4,25000
izmir,balcova,onur,1,1,50,4,2,22000
izmir,karabaglar,vatan,3,1,135,25,5,25000
izmir,karabaglar,ali_fuat_cebesoy,2,1,100,15,2,18000
izmir,bornova,ataturk,2,1,100,30,4,25000
izmir,menemen,gazi_mustafa_kemal,1,1,50,7,3,10000
izmir,bornova,kizilay,2,1,85,4,3,18000
izmir,narlidere,narli,2,1,80,14,1,25000
izmir,gaziemir,zafer,2,1,85,25,1,15000
izmir,cigli,sirintepe,2,1,85,4,2,20000
izmir,buca,adatepe,1,1,55,5,2,15000
izmir,karsiyaka,atakent,3,1,120,35,-2,30000
izmir,selcuk,14_mayis,2,1,95,10,1,17000
izmir,bayrakli,osmangazi,2,1,90,15,2,15500
izmir,balcova,fevzi_cakmak,3,1,130,30,3,30000
izmir,cigli,cagdas,3,1,100,0,2,21500
izmir,bornova,mevlana,1,1,84,8,2,18000
izmir,menemen,9_eylul,2,1,90,7,1,15500
izmir,cigli,atasehir,3,1,130,25,2,20000
izmir,narlidere,2_inonu,1,1,65,4,1,25000
izmir,foca,ilipinar,1,1,45,0,2,20000
izmir,karabaglar,calikusu,2,1,90,25,2,11250
izmir,karabaglar,bahcelievler,2,1,80,0,-1,19000
izmir,buca,yigitler,2,1,75,25,3,19500
izmir,cigli,yeni_mahalle,2,1,100,0,3,20000
izmir,cigli,balatcik,1,1,65,2,3,16500
izmir,aliaga,siteler,2,1,85,15,3,20000
izmir,buca,ataturk,1,1,55,4,0,16000
izmir,bornova,erzene,1,1,60,5,4,25000
izmir,bornova,doganlar,2,1,120,20,3,15000
izmir,bornova,serintepe,1,1,75,25,1,11500
izmir,karsiyaka,yali,3,1,135,26,2,23000
izmir,konak,turgut_reis,2,1,90,40,6,30000
izmir,balcova,onur,3,1,180,24,1,33000
izmir,karsiyaka,bostanli,3,1,108,38,3,21000
izmir,gaziemir,dokuz_eylul,1,1,39,3,1,22000
izmir,buca,efeler,2,1,90,20,3,23000
izmir,gaziemir,atifbey,2,1,110,11,3,25000
izmir,buca,ufuk,2,1,90,4,3,15600
izmir,konak,ferahli,2,1,100,10,1,15000
izmir,foca,mustafa_kemal_ataturk,3,1,130,0,2,25000
izmir,konak,mithatpasa,3,1,110,31,1,23500
izmir,menderes,cukuralti,1,1,68,5,2,4000
izmir,seferihisar,hidirlik,3,1,180,15,2,40000
izmir,cigli,atasehir,3,1,125,11,3,30000
izmir,buca,ataturk,1,1,50,8,2,15000
izmir,odemis,zafer,3,1,190,16,1,16000
izmir,torbali,inonu,2,1,100,0,1,18000
izmir,menemen,85_yil_cumhuriyet,1,1,55,0,1,10000
izmir,karabaglar,kazim_karabekir,1,1,70,20,2,14000
izmir,karabaglar,fahrettin_altay,3,1,140,31,0,25000
izmir,seferihisar,camikebir,2,1,90,0,2,18000
izmir,karabaglar,bahcelievler,3,1,110,30,3,17000
izmir,narlidere,ataturk,3,1,130,16,3,35000
izmir,karabaglar,bahcelievler,3,1,125,26,4,20000
izmir,karabaglar,calikusu,2,1,100,30,0,13000
izmir,bornova,ataturk,1,1,60,10,0,16250
izmir,karsiyaka,goncalar,2,1,90,10,3,26500
izmir,bornova,mevlana,1,1,65,5,2,15000
izmir,cigli,atasehir,3,1,145,15,4,31000
izmir,buca,hurriyet,2,1,80,7,1,15500
izmir,konak,mimar_sinan,1,1,65,25,2,20000
izmir,buca,kurucesme,1,1,55,5,1,12000
izmir,bornova,inonu,2,1,120,20,2,19000
izmir,karabaglar,bozyaka,3,1,140,0,2,25000
izmir,torbali,inonu,3,1,140,5,0,25000
izmir,buca,firat,2,1,95,6,2,14000
izmir,torbali,torbali,3,1,145,8,5,20000
izmir,menemen,85_yil_cumhuriyet,1,1,50,0,4,12500
izmir,torbali,inonu,3,1,196,2,2,42000
izmir,menderes,kasimpasa,2,1,85,0,2,25000
izmir,selcuk,ataturk,2,1,95,3,3,21000
izmir,buca,dumlupinar,1,1,60,11,2,18000
izmir,konak,goztepe,2,1,90,31,1,21000
izmir,buca,adatepe,2,1,85,10,2,22000
izmir,bornova,ergene,1,1,60,0,3,24000
izmir,aliaga,yeni,3,1,120,10,3,18000
izmir,karabaglar,bahcelievler,3,1,145,7,3,30000
izmir,odemis,zafer,3,1,140,27,4,16000
izmir,balcova,onur,3,1,110,28,3,20000
izmir,karabaglar,bozyaka,2,1,100,17,0,10000
izmir,balcova,fevzi_cakmak,3,1,180,28,1,35000
izmir,bornova,evka_4,2,1,66,26,4,12000
izmir,konak,mehmet_ali_akman,3,1,120,30,3,35000
izmir,buca,kurucesme,1,1,50,4,0,17500
izmir,bornova,ergene,3,1,120,50,2,23000
izmir,buca,yildiz,1,1,50,7,2,15000
izmir,bornova,erzene,2,1,80,8,3,24000
izmir,konak,turgut_reis,2,1,95,29,2,18500
izmir,menemen,esatpasa,3,1,125,25,3,15000
izmir,buca,hurriyet,1,1,40,0,3,15000
izmir,karabaglar,bahcelievler,2,1,100,35,3,18500
izmir,gaziemir,gazi,3,1,125,25,5,23000
izmir,buca,ataturk,1,1,55,5,4,15000
izmir,karabaglar,muammer_akar,2,1,105,40,5,22000
izmir,karsiyaka,nergiz,3,1,130,1,4,45000
izmir,karabaglar,vatan,3,1,145,26,5,28000
izmir,menderes,orta,1,1,75,12,2,36500
izmir,torbali,fevzi_cakmak,2,1,110,0,3,15000
izmir,menemen,85_yil_cumhuriyet,1,1,55,0,0,12000
izmir,aliaga,yenisakran,3,1,120,0,2,20000
izmir,karsiyaka,semikler,4,1,160,4,4,30000
izmir,balcova,onur,2,1,90,25,1,21000
izmir,karabaglar,kazim_karabekir,2,1,120,20,4,16000
izmir,cigli,balatcik,1,1,60,7,2,18000
izmir,cigli,yeni_mahalle,2,1,75,8,3,18000
izmir,karsiyaka,semikler,3,1,115,20,3,25000
izmir,urla,gulbahce,1,1,45,2,1,20000
izmir,karabaglar,uckuyular,3,1,125,31,6,23000
izmir,karsiyaka,semikler,3,1,115,20,3,25000
izmir,buca,vali_rahmi_bey,3,1,125,25,3,20000
izmir,bornova,mevlana,1,1,50,5,2,15000
izmir,bornova,ergene,1,1,55,4,1,22000
izmir,karabaglar,vatan,2,1,100,20,3,17000
izmir,menderes,cuneytbey,2,1,120,35,2,10000
izmir,bergama,maltepe,3,1,130,20,5,15000
izmir,bornova,gazi_osman_pasa,3,1,140,30,5,14000
izmir,seferihisar,camikebir,1,1,70,2,2,17500
izmir,bornova,kazimdirik,1,1,55,9,6,20000
izmir,karabaglar,vatan,2,1,95,15,3,18000
izmir,urla,zeytinalani,4,1,160,10,2,40000
izmir,buca,adatepe,1,1,45,8,1,10000
izmir,foca,mustafa_kemal_ataturk,2,1,80,6,1,20000
izmir,menemen,inonu,2,1,80,4,3,15000
izmir,menemen,bagcilar,2,1,100,0,2,20000
izmir,konak,zafertepe,2,1,100,2,2,18000
izmir,konak,piri_reis,3,1,125,40,4,22000
izmir,karsiyaka,donanmaci,3,1,140,26,1,27500
izmir,bornova,evka_3,2,1,60,35,4,15000
izmir,kiraz,cumhuriyet,3,1,130,20,3,14000
izmir,selcuk,zafer,3,1,130,20,2,20000
